Location,Latitude,Longitude,Temperature,Weather,Description,Humidity,Pressure,Wind Speed,Timestamp
Sircilla,18.4,78.79,303.8,Clouds,overcast clouds,69,1004,3.99,2024-08-22T09:30:14.519390+00:00
Sirgapoor,18.14,77.72,302.57,Clouds,broken clouds,69,1004,4.65,2024-08-22T09:30:14.661822+00:00
Sirikonda,19.37,78.6,303.17,Clouds,overcast clouds,72,1004,2.79,2024-08-22T09:30:14.725254+00:00
Sirikonda,18.55,78.49,301.95,Clouds,overcast clouds,78,1004,3.25,2024-08-22T09:30:14.793123+00:00
Sirpur_T,19.47,79.58,303.41,Clouds,overcast clouds,76,1003,2.39,2024-08-22T09:30:14.929499+00:00
Sirpur_U,19.34,78.97,302,Clouds,overcast clouds,73,1004,2.96,2024-08-22T09:30:15.075273+00:00
Soan,19.01,78.35,304.47,Clouds,broken clouds,67,1003,2.64,2024-08-22T09:30:15.156976+00:00
Srirampur,18.5,79.52,303.36,Clouds,overcast clouds,73,1004,3.34,2024-08-22T09:30:15.527742+00:00
Srirangapur,16.19,78.04,303.14,Clouds,overcast clouds,65,1005,5.44,2024-08-22T09:30:15.677673+00:00
Sujathanagar,17.49,80.58,301.52,Rain,light rain,84,1004,3.02,2024-08-22T09:30:15.748886+00:00
Sultanabad,18.51,79.32,303.05,Clouds,overcast clouds,73,1004,3.38,2024-08-22T09:30:15.898449+00:00
Suryapet,17.18,79.59,302.94,Rain,light rain,73,1004,2.74,2024-08-22T09:30:16.009122+00:00
Tadoor,16.58,78.35,300.48,Clouds,overcast clouds,75,1005,4.68,2024-08-22T09:30:16.103391+00:00
Tadvai (Sammakka Sarakka),18.17,80.29,300.89,Rain,light rain,86,1004,2.42,2024-08-22T09:30:16.183817+00:00
Tadwai,18.31,78.24,301.4,Clouds,overcast clouds,75,1004,4.04,2024-08-22T09:30:16.276895+00:00
Talakondapally,16.86,78.42,301.55,Clouds,overcast clouds,75,1006,4.8,2024-08-22T09:30:16.390901+00:00
Talamadugu,19.63,78.38,303.73,Rain,heavy intensity rain,70,1003,2.75,2024-08-22T09:30:16.460305+00:00
Tamsi,19.71,78.44,304.13,Rain,heavy intensity rain,69,1003,2.47,2024-08-22T09:30:16.564524+00:00
Tandur,19.16,79.46,303.48,Clouds,overcast clouds,72,1003,3.04,2024-08-22T09:30:16.637613+00:00
Tandur,17.3,77.54,301.19,Rain,light rain,76,1005,4.46,2024-08-22T09:30:16.703667+00:00
Tanoor,19.03,77.84,304.87,Rain,light rain,61,1003,2.79,2024-08-22T09:30:17.181132+00:00
Tekmal,17.97,78.02,302.22,Clouds,overcast clouds,71,1004,5.02,2024-08-22T09:30:17.249476+00:00
Tekulapalle,17.64,80.49,300.48,Rain,light rain,87,1005,2.48,2024-08-22T09:30:17.367002+00:00
Tekumatla,18.42,79.62,302.9,Clouds,overcast clouds,76,1004,3.73,2024-08-22T09:30:17.703375+00:00
Telkapalle,16.42,78.44,300.54,Clouds,overcast clouds,75,1005,4.67,2024-08-22T09:30:17.769447+00:00
Thallada,17.21,80.44,302.21,Rain,light rain,79,1005,2.98,2024-08-22T09:30:17.896369+00:00
Thangallapalli,18.34,78.83,303.83,Clouds,overcast clouds,68,1004,4.25,2024-08-22T09:30:17.976604+00:00
Tharigoppula,17.95,79.18,300.89,Rain,light rain,78,1004,3.04,2024-08-22T09:30:18.117384+00:00
Thimmajipeta,16.66,78.22,300.24,Clouds,overcast clouds,76,1005,4.54,2024-08-22T09:30:18.261404+00:00
Thimmapur,18.32,79.18,303.56,Clouds,overcast clouds,68,1004,3.94,2024-08-22T09:30:18.370578+00:00
Thoguta,18.01,78.74,302.18,Clouds,overcast clouds,70,1004,4.34,2024-08-22T09:30:18.443650+00:00
Thorrur,17.58,79.67,300.4,Clouds,overcast clouds,85,1004,1.78,2024-08-22T09:30:18.512897+00:00
Thungathurthy,17.42,79.6,301.62,Rain,light rain,79,1004,1.82,2024-08-22T09:30:18.621557+00:00
Tipparthy,17.04,79.4,304.12,Rain,light rain,65,1004,4.75,2024-08-22T09:30:18.821198+00:00
Tirumalagiri,17.48,79.48,301.94,Clouds,overcast clouds,77,1004,2.82,2024-08-22T09:30:18.937841+00:00
Tirumalagiri_Sagar,16.68,79.37,304.6,Rain,heavy intensity rain,60,1004,5.2,2024-08-22T09:30:19.016724+00:00
Tirumalayapalem,17.33,79.94,300.7,Rain,moderate rain,84,1004,1.14,2024-08-22T09:30:19.367425+00:00
Tirumalgiri,17.46,78.49,302.12,Haze,haze,70,1005,5.14,2024-08-22T09:30:19.443340+00:00
Tiryani,19.19,79.2,302.97,Clouds,overcast clouds,72,1004,2.75,2024-08-22T09:30:19.815674+00:00
Tripuraram,16.82,79.47,304.97,Rain,heavy intensity rain,61,1004,5.11,2024-08-22T09:30:19.945179+00:00
Turkapalle_M,17.66,78.82,302.09,Clouds,overcast clouds,74,1005,4.14,2024-08-22T09:30:20.094107+00:00
Undavelly,15.95,78.01,304.05,Clouds,overcast clouds,58,1004,4.8,2024-08-22T09:30:20.171527+00:00
Uppal,17.41,78.56,302.43,Haze,haze,70,1005,5.14,2024-08-22T09:30:20.257049+00:00
Uppunuthala,16.49,78.63,301.36,Rain,moderate rain,72,1005,4.72,2024-08-22T09:30:20.617846+00:00
Urkonda,16.73,78.4,300.52,Clouds,overcast clouds,74,1005,4.57,2024-08-22T09:30:20.696028+00:00
Utnur,19.37,78.77,302.99,Clouds,overcast clouds,73,1004,2.83,2024-08-22T09:30:20.775608+00:00
V_Saidapur,18.2,79.31,302.94,Rain,heavy intensity rain,71,1004,3.88,2024-08-22T09:30:20.853259+00:00
Vailpur,18.77,78.39,303.82,Clouds,overcast clouds,70,1003,2.78,2024-08-22T09:30:20.995944+00:00
Valigonda,17.39,79.04,302.56,Clouds,overcast clouds,70,1004,4.78,2024-08-22T09:30:21.081039+00:00
Vangoor,16.58,78.6,301.19,Rain,light rain,71,1005,4.78,2024-08-22T09:30:21.166855+00:00
Varni,18.51,77.95,304.03,Clouds,broken clouds,67,1003,3.76,2024-08-22T09:30:21.254375+00:00
Vatpally,17.88,77.9,302,Clouds,overcast clouds,69,1004,5.62,2024-08-22T09:30:21.330479+00:00
Veenavanka,18.37,79.4,303.28,Rain,light rain,72,1004,3.86,2024-08-22T09:30:21.409156+00:00
Veernapalli,18.49,78.59,302.19,Clouds,overcast clouds,76,1004,3.46,2024-08-22T09:30:21.767660+00:00
Velair,17.99,79.32,300.83,Rain,moderate rain,81,1004,2.62,2024-08-22T09:30:21.859378+00:00
Veldanda,16.75,78.56,300.97,Rain,light rain,71,1005,4.91,2024-08-22T09:30:21.986088+00:00
Velgatur,18.81,79.2,303.77,Clouds,overcast clouds,72,1004,3.28,2024-08-22T09:30:22.345357+00:00
Vemanpalle,19.09,79.81,302.71,Clouds,overcast clouds,82,1004,2.69,2024-08-22T09:30:22.430174+00:00
Vemsoor,17.11,80.77,302.32,Rain,heavy intensity rain,77,1005,3.88,2024-08-22T09:30:22.501194+00:00
Vemulapally,16.98,79.56,303.92,Rain,moderate rain,68,1004,3.66,2024-08-22T09:30:22.638113+00:00
Vemulawada,18.47,78.86,303.65,Clouds,overcast clouds,69,1004,3.41,2024-08-22T09:30:22.753187+00:00
Vemulawada Rural,18.52,78.85,303.36,Clouds,overcast clouds,70,1004,3.18,2024-08-22T09:30:22.813740+00:00
Venkatapur,18.3,80.0,301.26,Rain,moderate rain,85,1004,3.48,2024-08-22T09:30:22.897342+00:00
Venkatapuram,18.3,80.65,299.75,Clouds,overcast clouds,86,1005,2.23,2024-08-22T09:30:23.243940+00:00
Vikarabad,17.34,77.9,300.09,Clouds,overcast clouds,75,1005,5.52,2024-08-22T09:30:23.302319+00:00
Waddepally,15.97,77.82,304.38,Clouds,overcast clouds,57,1004,5.6,2024-08-22T09:30:23.460489+00:00
Wanaparthy,16.34,78.05,301.8,Clouds,overcast clouds,69,1005,5.42,2024-08-22T09:30:23.633902+00:00
Wankidi,19.5,79.31,304.11,Clouds,overcast clouds,70,1004,2.01,2024-08-22T09:30:23.748232+00:00
Warangal,18.01,79.62,300.34,Rain,heavy intensity rain,85,1004,2.65,2024-08-22T09:30:23.835252+00:00
Wardhannapet,17.77,79.58,300.17,Clouds,overcast clouds,87,1004,2.68,2024-08-22T09:30:23.954534+00:00
Wargal,17.79,78.59,301.94,Clouds,overcast clouds,75,1005,4.69,2024-08-22T09:30:24.048449+00:00
Weepangandla,16.14,78.14,302.8,Clouds,overcast clouds,65,1005,5.09,2024-08-22T09:30:24.134711+00:00
Wyra,17.12,80.37,302,Rain,light rain,79,1004,2.73,2024-08-22T09:30:24.239420+00:00
Yacharam,17.03,78.66,301.44,Clouds,overcast clouds,73,1005,5.61,2024-08-22T09:30:24.365491+00:00
Yadagirigutta,17.61,78.96,301.63,Clouds,overcast clouds,73,1004,4.14,2024-08-22T09:30:24.452748+00:00
Yedapally,18.68,77.99,304.05,Clouds,broken clouds,68,1003,3.39,2024-08-22T09:30:24.811082+00:00
Yelal,17.21,77.64,300.81,Rain,moderate rain,77,1005,4.58,2024-08-22T09:30:25.200231+00:00
Yeldurthy,17.91,78.33,302.03,Clouds,overcast clouds,71,1004,5.4,2024-08-22T09:30:25.274895+00:00
Yellandu,17.66,80.32,299.28,Rain,light rain,90,1005,2.44,2024-08-22T09:30:25.370893+00:00
Yellareddy,18.22,78.02,302.62,Rain,light rain,73,1004,3.66,2024-08-22T09:30:25.516006+00:00
Yellareddypet,18.4,78.66,303.25,Clouds,overcast clouds,72,1004,4.03,2024-08-22T09:30:25.590734+00:00
Yergatla,18.92,78.48,304.08,Clouds,broken clouds,69,1003,2.44,2024-08-22T09:30:25.677360+00:00
Yerrupalem,16.87,80.52,301.73,Rain,moderate rain,82,1005,2.95,2024-08-22T09:30:25.742132+00:00
Zaffergadh,17.8,79.46,300.56,Clouds,overcast clouds,84,1004,2.62,2024-08-22T09:30:25.838188+00:00
Zahirabad,17.67,77.59,300.56,Clouds,overcast clouds,73,1005,5.74,2024-08-22T09:30:25.899868+00:00
Lingal,16.27,78.51,300.3,Clouds,overcast clouds,77,1006,4.66,2024-08-22T09:30:26.062884+00:00
Nagar_Kurnool,16.45,78.32,300.47,Clouds,overcast clouds,75,1005,4.89,2024-08-22T09:30:26.132893+00:00
Mahabubnagar_Rural,16.7,77.92,300.53,Clouds,overcast clouds,78,1005,4.61,2024-08-22T09:30:26.192945+00:00
Utkoor,16.64,77.53,301.99,Clouds,overcast clouds,70,1005,5.78,2024-08-22T09:30:26.395421+00:00
Saroornagar,17.36,78.54,302.39,Haze,haze,70,1005,5.66,2024-08-22T09:30:26.508360+00:00
Ameenpur,17.54,78.31,302.06,Haze,haze,70,1005,5.14,2024-08-22T09:30:26.918841+00:00
Jinnaram,17.61,78.32,301.99,Clouds,overcast clouds,72,1005,5.41,2024-08-22T09:30:27.001900+00:00
Toopran,17.85,78.49,302.21,Clouds,overcast clouds,73,1005,5.33,2024-08-22T09:30:27.368173+00:00
Manoharabad,17.75,78.47,301.81,Clouds,overcast clouds,76,1005,5.29,2024-08-22T09:30:27.453777+00:00
Doultabad,17.97,78.58,302.01,Clouds,overcast clouds,69,1004,5.07,2024-08-22T09:30:27.533350+00:00
Chilipched,17.86,78.12,302.13,Clouds,overcast clouds,70,1004,5.56,2024-08-22T09:30:27.658195+00:00
Shankarampet_R,17.99,78.39,302.32,Clouds,overcast clouds,69,1004,5.37,2024-08-22T09:30:27.840374+00:00
Chegunta,17.99,78.51,302.06,Clouds,overcast clouds,68,1004,5.48,2024-08-22T09:30:27.987702+00:00
Domakonda,18.26,78.45,302.14,Clouds,overcast clouds,73,1004,4.53,2024-08-22T09:30:28.068541+00:00
Pitlam,18.27,77.82,303.12,Clouds,broken clouds,70,1004,3.8,2024-08-22T09:30:28.248911+00:00
Bichkunda,18.39,77.75,304.4,Clouds,broken clouds,65,1003,3.72,2024-08-22T09:30:28.650349+00:00
Birkoor,18.45,77.81,304.59,Clouds,broken clouds,65,1003,3.66,2024-08-22T09:30:28.711749+00:00
Mavala,19.64,78.51,303.97,Rain,heavy intensity rain,70,1003,2.69,2024-08-22T09:30:28.817250+00:00
Anthergaon,18.8,79.39,303.56,Clouds,overcast clouds,73,1004,3.32,2024-08-22T09:30:28.887813+00:00
Wazeed,18.5,80.51,301.16,Clouds,overcast clouds,86,1004,2.79,2024-08-22T09:30:29.059440+00:00
Kammarpally,18.77,78.54,303.33,Rain,light rain,71,1004,2.49,2024-08-22T09:30:29.146011+00:00
Kodakandla,17.54,79.47,301.73,Clouds,overcast clouds,78,1004,2.77,2024-08-22T09:30:29.299747+00:00
Krishna,16.43,77.35,302.89,Clouds,overcast clouds,64,1005,6.38,2024-08-22T09:30:29.363791+00:00
Kotapalle,18.95,79.85,302.67,Clouds,overcast clouds,82,1004,2.97,2024-08-22T09:30:29.739754+00:00
Nadikuda,18.2,79.63,301.8,Rain,heavy intensity rain,79,1004,3.96,2024-08-22T09:30:29.816205+00:00
Muduchinthalaphally,17.64,78.67,302.15,Clouds,overcast clouds,75,1005,4.61,2024-08-22T09:30:29.904221+00:00
Narayanraopet,18.22,78.8,303.25,Clouds,overcast clouds,67,1004,4.78,2024-08-22T09:30:30.083413+00:00
Mosra,18.58,77.99,303.91,Clouds,broken clouds,68,1003,3.63,2024-08-22T09:30:30.203254+00:00
Chandur,18.55,77.98,303.98,Clouds,broken clouds,68,1003,3.7,2024-08-22T09:30:30.272068+00:00
Chowtakur,17.71,78.1,302.33,Clouds,overcast clouds,70,1005,5.96,2024-08-22T09:30:30.383284+00:00
Masaipet,17.91,78.46,301.95,Clouds,overcast clouds,71,1005,5.39,2024-08-22T09:30:30.448416+00:00
Dhoolumitta,17.99,79.09,301.47,Clouds,overcast clouds,77,1004,3.32,2024-08-22T09:30:30.587689+00:00
